0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.9292363,0.8203784,0.64313585,0.5823027,0.53434247,0.5379245,0.51807296,0.40545082,0.34277037,0.27938458,0.24283408,0.23037958,0.2270099,0.22491361
0.8725613,0.8850941,0.58387965,0.4885882,0.44468474,0.46024674,0.46571442,0.3637864,0.3094107,0.25321144,0.2162692,0.20991,0.20860237,0.20910005
0.749901,0.692849,0.93681246,0.85510814,0.7430894,0.71062005,0.6651354,0.5503625,0.46851087,0.39079452,0.339525,0.33513358,0.33415452,0.3392498
0.7234781,0.6634299,0.8892641,0.89174724,0.81519085,0.78096986,0.7245899,0.61462706,0.5180053,0.43075418,0.37264177,0.36845958,0.36104292,0.35979852
0.6089059,0.5621481,0.84408545,0.88555557,0.8911849,0.841904,0.7679017,0.6706339,0.57790637,0.47969002,0.41699857,0.41041175,0.41072518,0.41718015
0.5938309,0.55236053,0.79426956,0.8444383,0.8726755,0.8384151,0.78208274,0.6883307,0.59696454,0.49901375,0.43962768,0.43359447,0.43951133,0.4485292
0.57935,0.5260283,0.73770106,0.79856616,0.82061476,0.8086924,0.807268,0.7372265,0.6577016,0.5670708,0.48986858,0.48732385,0.49068663,0.49655658
0.5013372,0.4557541,0.6458823,0.7165971,0.77106285,0.7698113,0.7898082,0.77125937,0.71004885,0.6248678,0.54882497,0.5322085,0.5311174,0.53310794
0.4509328,0.41994634,0.5754124,0.63352996,0.6850597,0.70490944,0.7424786,0.7522631,0.7204484,0.65175664,0.58065224,0.55836767,0.5588096,0.56590766
0.39197433,0.37251475,0.5340358,0.5859965,0.62868506,0.6599043,0.70108175,0.7348558,0.7319619,0.6789939,0.6027974,0.5874723,0.5953497,0.6082243
0.3394451,0.32797733,0.47127056,0.52728987,0.57174647,0.6078607,0.654155,0.70454615,0.7247979,0.6917633,0.61833286,0.6040767,0.61436814,0.62895966
0.3325728,0.31152707,0.46214792,0.5205235,0.56545377,0.60175925,0.6498918,0.70410526,0.7313599,0.7143842,0.6603912,0.6566521,0.6676591,0.6774533
0.31408992,0.29448622,0.44036806,0.49913165,0.55068654,0.5899225,0.63647586,0.69330376,0.71736926,0.70071775,0.6665021,0.70926744,0.7257081,0.7388015
0.30382228,0.28862256,0.42513272,0.47409636,0.5179478,0.55175686,0.5863917,0.62723106,0.6381295,0.6142142,0.58034056,0.6400983,0.6782851,0.72937775
