0,1,2,3,4,5,6,7,8,9,10,11,12,13
0.9846766,0.9873772,0.70380825,0.5476792,0.50654405,0.5135265,0.48875076,0.38382465,0.327026,0.2731054,0.22642933,0.24597967,0.25181645,0.25244576
0.9859218,0.9909823,0.7039986,0.5463357,0.50350416,0.51164705,0.48549688,0.37808937,0.32094574,0.2675026,0.2218301,0.24030007,0.24600273,0.24700615
0.9798494,0.9834416,0.76811916,0.61699855,0.56638426,0.56689894,0.5346388,0.422127,0.3591261,0.29735267,0.2469204,0.26315358,0.2645822,0.26214948
0.65811074,0.63191605,0.96454346,0.9504959,0.84595215,0.79827654,0.72061646,0.6014935,0.51242274,0.41776899,0.3637776,0.36928755,0.35361338,0.34343985
0.6369598,0.6080774,0.9533589,0.9591066,0.87986505,0.83619523,0.7540117,0.64266324,0.5518701,0.45242196,0.39875314,0.401874,0.38691264,0.3767611
0.5386785,0.51130545,0.78767735,0.8929901,0.9422388,0.9294958,0.864031,0.78247434,0.6849808,0.57094306,0.50826544,0.51074994,0.4887518,0.475816
0.5420722,0.51471394,0.7767362,0.8769061,0.9330576,0.9339746,0.8784108,0.792096,0.6932529,0.57374614,0.50814813,0.5115049,0.49158618,0.48305866
0.5165598,0.49217027,0.76264143,0.8619248,0.9173941,0.9273552,0.89566034,0.81132907,0.71228296,0.5906463,0.52062,0.527454,0.50963014,0.50073034
0.5051128,0.47746608,0.7357721,0.83489126,0.9025668,0.9160978,0.8983732,0.8436615,0.760698,0.6438416,0.5733254,0.57748914,0.553629,0.5386851
0.3841632,0.35836923,0.5702206,0.68948305,0.77053857,0.8166702,0.8629967,0.89718705,0.86672044,0.77323264,0.7013045,0.68954754,0.65723264,0.62517756
0.3579371,0.33268574,0.535012,0.6571435,0.74326056,0.7851508,0.83342683,0.87395954,0.8694339,0.79792917,0.7283977,0.7081219,0.6736572,0.6401781
0.29341605,0.26959473,0.41814786,0.5156663,0.5942953,0.6321871,0.7008811,0.76357985,0.82312953,0.8403317,0.8303443,0.78156626,0.7369174,0.6849205
0.27393782,0.24970895,0.39990255,0.48945022,0.5632361,0.5980678,0.65910375,0.7252059,0.7914819,0.8247731,0.8330307,0.79225373,0.7512342,0.691879
0.27967772,0.26016247,0.39081016,0.46132094,0.53587013,0.58178574,0.64892805,0.6969461,0.752259,0.76800615,0.8016501,0.8416148,0.8389626,0.8154803
0.27536356,0.25409824,0.37429386,0.44295436,0.5165233,0.5662213,0.6330522,0.6793578,0.7325643,0.7526589,0.7897016,0.851223,0.8594734,0.8396825
0.283592,0.26104635,0.37156954,0.43739203,0.51402336,0.56266755,0.6263202,0.6728724,0.72589296,0.7442692,0.7873929,0.85749614,0.8716883,0.85274106
0.28063506,0.25968316,0.36268634,0.42312357,0.49738002,0.5454079,0.6050288,0.64637685,0.69508165,0.71259683,0.7582666,0.8292503,0.85955,0.86256284
